"Latest: Time (s)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: GateState 2","Latest: Distance 2 (m)"
0.445995,,,1,0
0.45982,,,0,
0.473377,,,1,0.01
0.487453,,,0,
0.501035,,,1,0.02
0.514956,,,0,
0.528491,,,1,0.03
0.542466,,,0,
0.556155,,,1,0.04
0.570123,,,0,
0.583619,,,1,0.05
0.597598,,,0,
0.611183,,,1,0.06
0.625122,,,0,
0.638778,,,1,0.07
0.652726,,,0,
0.666251,,,1,0.08
0.680088,,,0,
0.693901,,,1,0.09
0.707688,,,0,
0.721361,,,1,0.1
0.735184,,,0,
0.748798,,,1,0.11
0.762682,,,0,
0.77646,,,1,0.12
0.790273,,,0,
3.746485,1,0,,
3.761446,0,,,
3.773838,1,0.01,,
3.789059,0,,,
3.801399,1,0.02,,
3.81652,0,,,
3.828923,1,0.03,,
3.844052,0,,,
3.856559,1,0.04,,
3.871675,0,,,
3.883987,1,0.05,,
3.89928,0,,,
3.911676,1,0.06,,
3.926822,0,,,
3.939314,1,0.07,,
3.954494,0,,,
3.966922,1,0.08,,
3.98201,0,,,
3.994685,1,0.09,,
4.009806,0,,,
4.022276,1,0.1,,
4.037501,0,,,
4.050025,1,0.11,,
4.065177,0,,,
4.077816,1,0.12,,
4.093019,0,,,
