Latest: Time (s),Latest: GateState 1,Latest: Distance 1 (m),Latest: GateState 2,Latest: Distance 2 (m)
0.985262,,,1,0
0.993261,,,0,
1.001094,,,1,0.01
1.009228,,,0,
1.017125,,,1,0.02
1.025165,,,0,
1.033021,,,1,0.03
1.041082,,,0,
1.048983,,,1,0.04
1.057112,,,0,
1.064913,,,1,0.05
1.073039,,,0,
1.080908,,,1,0.06
1.088978,,,0,
1.096934,,,1,0.07
1.105028,,,0,
1.112906,,,1,0.08
1.120929,,,0,
1.128942,,,1,0.09
1.136989,,,0,
1.144903,,,1,0.1
1.152965,,,0,
1.160857,,,1,0.11
1.168889,,,0,
1.176944,,,1,0.12
1.184973,,,0,
2.924703,1,0,,
2.933461,0,,,
2.940733,1,0.01,,
2.949643,0,,,
2.956855,1,0.02,,
2.965719,0,,,
2.972972,1,0.03,,
2.981829,0,,,
2.989163,1,0.04,,
2.997995,0,,,
3.005213,1,0.05,,
3.014146,0,,,
3.0214,1,0.06,,
3.030234,0,,,
3.037537,1,0.07,,
3.046448,0,,,
3.053714,1,0.08,,
3.062572,0,,,
3.070004,1,0.09,,
3.078829,0,,,
3.086143,1,0.1,,
3.095038,0,,,
3.102373,1,0.11,,
3.111223,0,,,
3.118613,1,0.12,,
3.127544,0,,,
