Latest: Time (s),Latest: GateState 1,Latest: Distance 1 (m),Latest: GateState 2,Latest: Distance 2 (m),,,,,,
1.241447,,,1,0,,delta t,v,v_i,p_i (Big cart),k_i
1.252792,,,0,,,,,,,
1.263932,,,1,0.01,,0.022485,0.444740938,0.442152106,141.5872738,31.30155566
1.275519,,,0,,,,,,,
1.28669,,,1,0.02,,0.022758,0.439405923,,,
1.298096,,,0,,,,,,,
1.309247,,,1,0.03,,0.022557,0.443321364,,,
1.320702,,,0,,,,,,,
1.331874,,,1,0.04,,0.022627,0.441949883,,,
1.343375,,,0,,,,,,,
1.354428,,,1,0.05,,0.022554,0.443380332,,,
1.365934,,,0,,,,,,,
1.377046,,,1,0.06,,0.022618,0.442125741,,,
1.388487,,,0,,,,,,,
1.399756,,,1,0.07,,0.02271,0.440334654,,,
1.411187,,,0,,,,,,,
1.422306,,,1,0.08,,0.02255,0.44345898,,,
1.433673,,,0,,,,,,,
1.445044,,,1,0.09,,0.022738,0.439792418,,,
1.456394,,,0,,,,,,,
1.467551,,,1,0.1,,0.022507,0.444306216,,,
1.478995,,,0,,,,,,,
1.490139,,,1,0.11,,0.022588,0.442712945,,,
1.501497,,,0,,,,,,,
1.512851,,,1,0.12,,0.022712,0.440295879,,,
1.52421,,,0,,,,,,,
4.625882,1,0,,,,delta t,v,v_f,p_f (Big cart+small cart),k_f
4.6432,0,,,,,,,,,
4.657513,1,0.01,,,,0.031631,0.316145553,0.31367798,143.4763082,15.75399096
4.675141,0,,,,,,,,,
4.689371,1,0.02,,,,0.031858,0.3138929,,,
4.706825,0,,,,,,,,,
4.721123,1,0.03,,,,0.031752,0.314940791,,,
4.738595,0,,,,,,,,,
4.753038,1,0.04,,,,0.031915,0.313332289,,,
4.77051,0,,,,,,,,,
4.784733,1,0.05,,,,0.031695,0.315507178,,,
4.802402,0,,,,,,,,,
4.816702,1,0.06,,,,0.031969,0.312803028,,,
4.834173,0,,,,,,,,,
4.848558,1,0.07,,,,0.031856,0.313912607,,,
4.86611,0,,,,,,,,,
4.880441,1,0.08,,,,0.031883,0.313646771,,,
4.897919,0,,,,,,,,,
4.912576,1,0.09,,,,0.032135,0.311187179,,,
4.930019,0,,,,,,,,,
4.944353,1,0.1,,,,0.031777,0.314693017,,,
4.961938,0,,,,,,,,,
4.976364,1,0.11,,,,0.032011,0.312392615,,,
4.993864,0,,,,,,,,,
5.008448,1,0.12,,,,0.032084,0.311681835,,,
5.026043,0,,,,,,,,,
